min,mV,mA
0,12669,700
2,12663,701
4,12667,702
6,12661,702
8,12656,701
10,12656,702
12,12653,701
14,12649,701
16,12646,701
18,12639,701
20,12639,702
22,12633,702
24,12628,701
26,12621,700
28,12617,701
30,12612,702
32,12602,700
34,12600,701
37,12591,700
38,12584,701
39,12584,701
40,12582,701
41,12577,701
42,12570,701
43,12566,700
44,12566,701
46,12561,700
47,12559,700
48,12558,701
49,12551,700
50,12551,701
51,12545,701
52,12544,701
53,12542,701
53,12542,701
54,12538,701
54,12540,703
55,12536,702
55,12535,701
56,12535,700
56,12528,700
57,12533,701
58,12529,701
58,12515,701
59,12519,701
59,12517,701
60,12517,702
60,12515,701
61,12512,700
61,12514,701
62,12514,701
63,12510,700
63,12512,700
64,12508,700
64,12512,700
65,12510,700
65,12508,700
66,12508,700
66,12507,700
67,12507,700
67,12507,701
68,12505,700
69,12508,700
69,12505,700
70,12503,700
70,12505,700
71,12503,701
72,12503,701
74,12501,700
75,12500,700
76,12501,700
77,12498,701
78,12500,700
79,12500,700
80,12498,700
81,12498,701
82,12496,701
83,12494,701
85,12498,701
86,12496,700
87,12494,701
88,12494,701
89,12494,701
90,12491,700
91,12489,700
92,12492,701
93,12489,700
94,12491,700
96,12491,700
97,12489,701
98,12491,700
99,12489,700
100,12489,702
101,12489,700
102,12485,700
103,12487,701
104,12484,700
106,12485,700
107,12484,700
108,12485,700
109,12484,700
110,12484,700
111,12484,700
112,12484,700
113,12482,700
114,12482,700
115,12482,700
117,12478,700
118,12482,700
119,12477,700
120,12477,700
121,12478,700
122,12478,700
123,12477,700
124,12478,700
125,12471,700
126,12473,700
128,12477,700
129,12473,700
130,12475,700
131,12475,700
132,12471,700
133,12473,700
134,12470,700
135,12471,700
136,12468,700
138,12466,700
139,12471,700
140,12470,700
141,12468,700
142,12464,700
143,12464,700
144,12466,700
145,12466,700
146,12461,700
147,12461,700
149,12463,700
150,12463,700
151,12461,700
152,12461,700
153,12457,699
154,12459,700
155,12461,700
156,12461,700
157,12457,700
158,12457,700
160,12455,700
161,12455,700
162,12454,699
163,12454,700
164,12454,699
165,12452,700
166,12450,699
167,12452,700
168,12448,699
169,12450,700
171,12452,700
172,12448,699
173,12448,699
174,12450,699
175,12445,699
176,12448,699
177,12443,699
178,12443,699
179,12441,699
181,12443,700
182,12440,699
183,12441,699
184,12436,699
185,12440,699
186,12440,699
187,12440,699
188,12438,699
189,12438,699
190,12436,699
192,12434,699
193,12436,699
194,12434,699
195,12433,698
196,12434,699
197,12433,699
198,12434,700
199,12431,699
200,12431,699
201,12429,699
203,12429,699
204,12429,698
205,12429,698
206,12427,698
207,12424,699
208,12422,698
209,12422,698
210,12424,700
211,12422,699
213,12419,698
214,12419,699
215,12420,699
216,12420,698
217,12420,699
218,12419,699
219,12420,699
220,12417,698
221,12417,698
222,12419,698
224,12410,697
225,12413,699
226,12413,698
227,12413,698
228,12410,698
229,12413,697
230,12408,697
231,12410,698
232,12410,699
233,12408,698
235,12404,697
236,12406,697
237,12406,698
238,12403,698
239,12404,698
240,12401,697
241,12399,697
242,12401,697
243,12401,699
245,12403,698
246,12401,698
247,12399,698
248,12397,697
249,12396,698
250,12397,699
251,12396,698
252,12397,697
253,12392,697
254,12397,698
256,12389,697
257,12392,697
258,12389,697
259,12389,697
260,12394,699
261,12390,698
262,12387,697
263,12389,697
264,12387,698
265,12387,697
267,12387,698
268,12385,697
269,12385,698
270,12383,698
271,12383,700
272,12380,698
273,12383,697
274,12380,697
275,12378,697
277,12380,697
278,12376,697
279,12380,698
280,12375,697
281,12376,697
282,12373,697
283,12376,697
284,12373,697
285,12373,697
286,12373,697
288,12373,697
289,12369,697
290,12371,697
291,12367,697
292,12369,697
293,12367,697
294,12364,697
295,12367,698
296,12364,697
297,12362,697
299,12360,697
300,12362,697
0,13084,656
2,12797,701
3,12720,703
4,12693,705
5,12683,705
6,12677,706
7,12676,706
8,12674,706
9,12669,706
10,12672,706
11,12670,706
12,12669,706
13,12670,706
14,12672,706
15,12672,706
16,12670,706
17,12676,706
18,12672,707
19,12674,707
21,12677,707
22,12677,707
23,12677,707
24,12674,706
25,12674,706
26,12677,707
27,12676,706
28,12679,707
29,12676,707
30,12676,707
31,12677,707
32,12674,707
33,12670,706
34,12676,707
35,12674,707
36,12672,707
37,12674,707
38,12674,707
39,12672,707
41,12674,707
42,12670,707
43,12670,707
44,12667,706
45,12670,707
46,12669,707
47,12669,707
48,12661,706
49,12667,707
50,12663,707
51,12665,707
52,12667,707
53,12658,706
54,12663,707
55,12663,707
56,12658,707
57,12660,706
58,12660,707
59,12658,706
61,12658,706
62,12656,706
63,12658,707
64,12656,706
65,12656,707
66,12658,707
67,12654,707
68,12654,707
69,12653,707
70,12649,707
71,12651,707
72,12653,707
73,12647,706
74,12646,706
75,12646,706
75,12646,706
76,12646,707
76,12646,707
77,12646,706
78,12646,707
78,12646,707
79,12644,707
79,12646,708
80,12640,707
80,12644,708
81,12646,708
81,12642,707
82,12642,707
82,12640,707
83,12642,707
84,12639,706
84,12640,707
85,12640,708
85,12640,707
86,12639,707
86,12637,706
87,12637,706
87,12633,706
88,12637,707
89,12637,707
89,12637,707
90,12630,706
90,12637,708
91,12635,707
91,12635,707
92,12633,707
92,12637,707
93,12637,708
94,12633,706
94,12632,706
95,12630,707
95,12628,706
96,12633,707
96,12630,706
97,12630,707
97,12630,707
98,12632,708
98,12630,707
99,12625,707
100,12630,706
100,12630,707
101,12623,707
101,12628,708
102,12630,707
102,12626,707
103,12623,707
103,12619,707
104,12623,707
105,12623,706
105,12625,706
106,12625,707
106,12621,706
107,12623,707
107,12616,706
108,12619,708
108,12617,707
109,12619,707
110,12619,708
110,12621,707
111,12619,708
111,12617,706
112,12619,707
112,12616,707
113,12610,706
113,12610,706
114,12614,707
114,12614,707
115,12610,706
116,12614,707
116,12609,706
117,12614,707
117,12610,706
118,12612,707
118,12609,706
119,12609,706
119,12607,706
120,12610,707
121,12607,706
121,12607,707
122,12607,706
122,12605,706
123,12607,707
123,12600,706
124,12609,708
124,12602,706
125,12602,706
126,12605,707
126,12605,707
127,12602,707
127,12603,706
128,12602,706
128,12603,706
129,12602,706
129,12600,706
130,12600,706
130,12600,707
131,12600,707
132,12602,707
132,12598,707
133,12596,707
133,12600,708
134,12598,707
134,12595,706
135,12596,707
135,12595,707
136,12595,707
137,12595,707
137,12595,706
138,12591,706
138,12595,707
139,12589,706
139,12593,707
140,12588,706
140,12589,707
141,12588,706
142,12588,706
142,12591,707
143,12588,707
143,12588,706
144,12584,706
144,12586,707
145,12584,708
145,12584,708
146,12588,709
146,12582,708
147,12584,708
148,12582,707
148,12582,707
149,12584,707
149,12579,707
150,12580,707
150,12580,707
151,12582,706
151,12582,707
152,12580,706
153,12577,706
153,12579,706
154,12575,706
154,12573,706
155,12577,707
155,12579,707
156,12577,706
156,12572,706
157,12575,706
158,12573,707
158,12572,706
159,12573,706
159,12575,707
160,12572,707
160,12575,708
161,12572,707
161,12570,707
162,12566,706
162,12570,707
163,12566,706
164,12566,706
164,12566,706
165,12566,706
165,12566,706
166,12566,707
166,12565,706
167,12565,706
167,12565,707
168,12563,706
169,12565,707
169,12561,706
170,12565,706
170,12563,706
171,12561,706
171,12565,708
172,12559,706
172,12559,706
173,12561,707
173,12556,706
174,12558,706
175,12558,706
175,12556,706
176,12556,706
176,12558,706
177,12554,706
177,12556,707
178,12552,706
178,12556,707
179,12554,707
180,12554,708
180,12554,706
181,12549,706
181,12554,707
182,12554,707
182,12551,706
183,12551,707
183,12549,706
184,12547,706
185,12547,706
185,12547,706
186,12549,707
186,12551,707
187,12551,707
187,12545,706
188,12545,706
188,12544,706
189,12544,706
189,12545,706
190,12536,706
191,12538,706
191,12542,706
192,12545,707
192,12540,707
193,12538,706
193,12540,706
194,12538,706
194,12538,706
195,12542,707
196,12535,706
196,12536,706
197,12536,706
197,12535,706
198,12535,706
198,12535,706
199,12536,706
199,12533,706
200,12533,706
201,12533,706
201,12533,706
202,12533,706
202,12529,706
203,12529,706
203,12529,706
204,12528,706
204,12529,706
205,12528,706
205,12526,706
206,12528,706
207,12522,706
207,12524,706
208,12526,706
208,12522,706
209,12524,706
209,12524,706
210,12524,706
210,12522,706
211,12521,706
212,12522,706
212,12521,706
213,12519,706
213,12519,706
214,12519,706
214,12521,707
215,12521,706
215,12519,706
216,12519,706
217,12519,706
217,12517,706
218,12517,706
218,12515,706
219,12514,706
219,12514,706
220,12515,707
220,12514,706
221,12514,706
221,12510,705
222,12510,706
223,12510,706
223,12508,706
224,12512,706
224,12510,706
225,12508,706
225,12507,706
226,12508,706
226,12507,706
227,12507,706
228,12503,706
228,12505,706
229,12503,706
229,12501,706
242,12492,708
243,12496,708
244,12487,709
245,12489,709
246,12487,707
248,12485,707
249,12489,708
250,12485,706
251,12482,706
252,12484,709
253,12480,708
254,12482,708
255,12480,707
256,12480,707
257,12477,706
259,12475,706
260,12475,706
261,12471,706
262,12475,706
263,12473,706
264,12473,706
265,12473,706
266,12468,706
267,12468,706
268,12470,706
270,12466,706
271,12464,706
272,12466,706
273,12464,706
274,12464,706
275,12463,706
276,12463,706
277,12459,706
278,12459,706
280,12459,706
281,12459,706
282,12455,706
283,12452,705
284,12452,705
285,12454,706

